type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;14-08-08;1;1;1;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00058;-
ois;14-08-08;2;2;2;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00061;-
ois;14-08-08;3;3;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00057;-
ois;14-08-08;4;4;4;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00056;-
ois;14-08-08;5;5;5;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00058;-
ois;14-08-08;6;6;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00056;-
ois;14-08-08;7;7;7;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0006;-
ois;14-08-08;8;8;8;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0006;-
ois;14-08-08;9;9;9;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00057;-
ois;14-08-08;10;10;10;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00055;-
ois;14-08-08;11;11;11;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00052;-
ois;14-08-08;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00048;-
ois;14-08-08;12;12;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00046;-
ois;14-08-08;12;12;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00046;-
ois;14-08-08;12;12;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00049;-
ois;14-08-08;12;12;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00056;-
ois;14-08-08;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00109;-
ois;14-08-08;12;12;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00189;-
ois;14-08-08;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00306;-
ois;14-08-08;12;12;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00436;-
ois;14-08-08;12;12;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00577;-
ois;14-08-08;12;12;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0072;-
ois;14-08-08;12;12;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00854;-
ois;14-08-08;12;12;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00976;-
ois;14-08-08;12;12;132;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01075;-
ois;14-08-08;12;12;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0142;-
ois;14-08-08;12;12;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01627;-
ois;14-08-08;12;12;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01699;-
ois;14-08-08;12;12;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01745;-
ois;14-08-08;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00087;-
ois;14-08-08;2;2;2;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0009;-
ois;14-08-08;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00092;-
ois;14-08-08;4;4;4;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00094;-
ois;14-08-08;5;5;5;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00098;-
ois;14-08-08;6;6;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00102;-
ois;14-08-08;7;7;7;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00105;-
ois;14-08-08;8;8;8;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00113;-
ois;14-08-08;9;9;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00122;-
ois;14-08-08;10;10;10;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00134;-
ois;14-08-08;11;11;11;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00149;-
ois;14-08-08;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00168;-
ois;14-08-08;12;12;15;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00235;-
ois;14-08-08;12;12;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00312;-
ois;14-08-08;12;12;21;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00399;-
ois;14-08-08;12;12;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00503;-
ois;14-08-08;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00934;-
ois;14-08-08;12;12;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01306;-
ois;14-08-08;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0158;-
ois;14-08-08;12;12;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01793;-
ois;14-08-08;12;12;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01963;-
ois;14-08-08;12;12;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02107;-
ois;14-08-08;12;12;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02232;-
ois;14-08-08;12;12;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02337;-
ois;14-08-08;12;12;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02512;-
ois;14-08-08;12;12;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02683;-
ois;14-08-08;12;12;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02843;-
ois;14-08-08;12;12;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02914;-
ois;14-08-08;12;12;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02945;-
ois;14-08-08;1;1;1;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00429;-
ois;14-08-08;2;2;2;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,004356;-
ois;14-08-08;3;3;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,004477;-
