type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;14-10-06;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00361;-
ois;14-10-06;2;2;2;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00371;-
ois;14-10-06;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00384;-
ois;14-10-06;4;4;4;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00391;-
ois;14-10-06;5;5;5;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00406;-
ois;14-10-06;6;6;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00418;-
ois;14-10-06;7;7;7;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00428;-
ois;14-10-06;8;8;8;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00443;-
ois;14-10-06;9;9;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00456;-
ois;14-10-06;10;10;10;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00465;-
ois;14-10-06;11;11;11;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,004785;-
ois;14-10-06;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00487;-
ois;14-10-06;12;12;15;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0052;-
ois;14-10-06;12;12;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00547;-
ois;14-10-06;12;12;21;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00573;-
ois;14-10-06;12;12;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,005965;-
ois;14-10-06;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00683;-
ois;14-10-06;12;12;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00776;-
ois;14-10-06;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00864;-
ois;14-10-06;12;12;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00954;-
ois;14-10-06;12;12;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01038;-
ois;14-10-06;12;12;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01115;-
ois;14-10-06;12;12;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01187;-
ois;14-10-06;12;12;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01255;-
ois;14-10-06;12;12;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01375;-
ois;14-10-06;12;12;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01504;-
ois;14-10-06;12;12;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01633;-
ois;14-10-06;12;12;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01694;-
ois;14-10-06;12;12;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01725;-
ois;14-10-06;1;1;1;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0055;-
ois;14-10-06;2;2;2;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0055;-
ois;14-10-06;3;3;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0055;-
ois;14-10-06;6;6;6;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0055;-
ois;14-10-06;9;9;9;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0055;-
ois;14-10-06;12;12;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00535;-
ois;14-10-06;12;12;15;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00518;-
ois;14-10-06;12;12;18;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00495;-
ois;14-10-06;12;12;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00432;-
ois;14-10-06;12;12;36;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0027;-
ois;14-10-06;12;12;48;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0006;-
ois;14-10-06;12;12;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0014;-
ois;14-10-06;12;12;72;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0034;-
ois;14-10-06;12;12;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00525;-
ois;14-10-06;12;12;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00685;-
ois;14-10-06;12;12;108;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00825;-
ois;14-10-06;12;12;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00945;-
