type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-04-01;1;1;1;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;2;2;2;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;3;3;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;4;4;4;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;5;5;5;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;6;6;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;7;7;7;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;8;8;8;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;9;9;9;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;10;10;10;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;11;11;11;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;144;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;2;2;2;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;4;4;4;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;5;5;5;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;6;6;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;7;7;7;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;8;8;8;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;9;9;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;10;10;10;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;11;11;11;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;15;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;21;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
ois;16-04-01;12;12;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;-
