type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-04-01;1;1;1;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,003297;-
ois;16-04-01;2;2;2;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00327;-
ois;16-04-01;3;3;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00329;-
ois;16-04-01;4;4;4;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00333;-
ois;16-04-01;5;5;5;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00339;-
ois;16-04-01;6;6;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00344;-
ois;16-04-01;7;7;7;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00358;-
ois;16-04-01;8;8;8;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,003663;-
ois;16-04-01;9;9;9;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00369;-
ois;16-04-01;10;10;10;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00365;-
ois;16-04-01;11;11;11;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00377;-
ois;16-04-01;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,003844;-
ois;16-04-01;12;12;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00381;-
ois;16-04-01;12;12;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00395;-
ois;16-04-01;12;12;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00395;-
ois;16-04-01;12;12;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00398;-
ois;16-04-01;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00382;-
ois;16-04-01;12;12;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00347;-
ois;16-04-01;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00279;-
ois;16-04-01;12;12;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00187;-
ois;16-04-01;12;12;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,000727;-
ois;16-04-01;12;12;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,000459;-
ois;16-04-01;12;12;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,001622;-
ois;16-04-01;12;12;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,002694;-
ois;16-04-01;12;12;144;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00457;-
ois;16-04-01;12;12;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00669;-
ois;16-04-01;12;12;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00849;-
ois;16-04-01;12;12;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0093;-
ois;16-04-01;12;12;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00911;-
ois;16-04-01;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0037;-
ois;16-04-01;2;2;2;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00376;-
ois;16-04-01;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00394;-
ois;16-04-01;4;4;4;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00392;-
ois;16-04-01;5;5;5;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00413;-
ois;16-04-01;6;6;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00425;-
ois;16-04-01;7;7;7;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00421;-
ois;16-04-01;8;8;8;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00438;-
ois;16-04-01;9;9;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00455;-
ois;16-04-01;10;10;10;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00458;-
ois;16-04-01;11;11;11;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00475;-
ois;16-04-01;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00473;-
ois;16-04-01;12;12;15;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00517;-
ois;16-04-01;12;12;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00538;-
ois;16-04-01;12;12;21;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00561;-
ois;16-04-01;12;12;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00569;-
ois;16-04-01;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00675;-
ois;16-04-01;12;12;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00762;-
ois;16-04-01;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00849;-
ois;16-04-01;12;12;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00939;-
ois;16-04-01;12;12;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01025;-
ois;16-04-01;12;12;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01103;-
ois;16-04-01;12;12;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01175;-
ois;16-04-01;12;12;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01244;-
ois;16-04-01;12;12;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01366;-
