type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-04-01;1;1;1;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0028;-
ois;16-04-01;2;2;2;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0065;-
ois;16-04-01;3;3;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0031;-
ois;16-04-01;4;4;4;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0041;-
ois;16-04-01;5;5;5;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0042;-
ois;16-04-01;6;6;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0012;-
ois;16-04-01;7;7;7;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0002;-
ois;16-04-01;8;8;8;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0021;-
ois;16-04-01;9;9;9;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0033;-
ois;16-04-01;10;10;10;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0031;-
ois;16-04-01;11;11;11;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0018;-
ois;16-04-01;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0082;-
ois;16-04-01;12;12;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0019;-
ois;16-04-01;12;12;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0091;-
ois;16-04-01;12;12;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0033;-
ois;16-04-01;12;12;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0062;-
ois;16-04-01;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01;-
ois;16-04-01;12;12;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0015;-
ois;16-04-01;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,009;-
ois;16-04-01;12;12;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0034;-
ois;16-04-01;12;12;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0069;-
ois;16-04-01;12;12;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0035;-
ois;16-04-01;12;12;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0026;-
ois;16-04-01;12;12;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0018;-
ois;16-04-01;12;12;132;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,002;-
ois;16-04-01;12;12;144;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0002;-
ois;16-04-01;12;12;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0028;-
ois;16-04-01;12;12;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0065;-
ois;16-04-01;12;12;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0031;-
ois;16-04-01;12;12;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0041;-
ois;16-04-01;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0042;-
