type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-05-12;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0038;-
ois;16-05-12;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0039;-
ois;16-05-12;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00271;-
ois;16-05-12;12;12;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00068;-
ois;16-05-12;12;12;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,002925;-
ois;16-05-12;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00487;-
ois;16-05-12;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00683;-
ois;16-05-12;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00864;-
ois;16-05-12;12;12;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01115;-
ois;16-05-12;12;12;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01255;-
ois;16-05-12;12;12;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00399;-
ois;16-05-12;12;12;36;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00516;-
ois;16-05-12;12;12;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00644;-
ois;16-05-12;12;12;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00941;-
ois;16-05-12;12;12;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01114;-
ois;16-05-12;12;12;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00535;-
ois;16-05-12;12;12;36;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0027;-
ois;16-05-12;12;12;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0014;-
ois;16-05-12;12;12;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00685;-
ois;16-05-12;12;12;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00945;-
irs;16-05-12;12;3;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,002775;-
irs;16-05-12;12;3;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,002735;-
irs;16-05-12;12;3;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00143;-
irs;16-05-12;12;3;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00071;-
irs;16-05-12;12;3;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00424;-
irs;16-05-12;6;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00753;-
irs;16-05-12;6;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0088025;-
irs;16-05-12;6;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,011887;-
irs;16-05-12;6;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0137225;-
irs;16-05-12;6;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0159725;-
irs;16-05-12;6;6;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,007815;-
irs;16-05-12;6;6;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,010084;-
irs;16-05-12;6;6;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,011959;-
irs;16-05-12;6;6;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01434;-
irs;16-05-12;12;3;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00435;-
irs;16-05-12;12;3;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,003075;-
irs;16-05-12;12;3;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00265;-
irs;16-05-12;12;3;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0067;-
irs;16-05-12;12;3;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01117;-
ccs;16-05-12;3;3;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00085;SEK
ccs;16-05-12;3;3;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,001575;SEK
ccs;16-05-12;3;3;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00345;SEK
ccs;16-05-12;3;3;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00435;SEK
ccs;16-05-12;3;3;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0048;SEK
ccs;16-05-12;3;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,002162;SEK
ccs;16-05-12;3;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001887;SEK
ccs;16-05-12;3;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001075;SEK
ccs;16-05-12;3;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000375;SEK
ccs;16-05-12;3;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000187;SEK
ccs;16-05-12;3;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00115;GBP
ccs;16-05-12;3;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001175;GBP
ccs;16-05-12;3;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001075;GBP
ccs;16-05-12;3;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000975;GBP
ccs;16-05-12;3;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001075;GBP
ccs;16-05-12;3;3;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;-0,001012;SEK
ccs;16-05-12;3;3;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;-0,000712;SEK
ccs;16-05-12;3;3;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0;SEK
ccs;16-05-12;3;3;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0006;SEK
ccs;16-05-12;3;3;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001262;SEK
ts;16-05-12;3;6;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00142;-
ts;16-05-12;3;6;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00102;-
fra;16-05-12;1;4;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00258;-
fra;16-05-12;1;4;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,006511;-
fra;16-05-12;1;4;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0059;-
fra;16-05-12;1;4;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0043;-
fra;16-05-12;6;9;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0029;-
fra;16-05-12;6;9;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,008064;-
fra;16-05-12;6;9;3;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,005874;-
fra;16-05-12;6;9;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00215;-
