type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-05-12;1;1;1;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,003365;-
ois;16-05-12;2;2;2;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00341;-
ois;16-05-12;3;3;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00341;-
ois;16-05-12;4;4;4;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00345;-
ois;16-05-12;5;5;5;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00351;-
ois;16-05-12;6;6;6;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00356;-
ois;16-05-12;7;7;7;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0036;-
ois;16-05-12;8;8;8;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00365;-
ois;16-05-12;9;9;9;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0037;-
ois;16-05-12;10;10;10;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00372;-
ois;16-05-12;11;11;11;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00379;-
ois;16-05-12;12;12;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0038;-
ois;16-05-12;12;12;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0039;-
ois;16-05-12;12;12;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,003965;-
ois;16-05-12;12;12;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00402;-
ois;16-05-12;12;12;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,004;-
ois;16-05-12;12;12;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0039;-
ois;16-05-12;12;12;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00342;-
ois;16-05-12;12;12;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00271;-
ois;16-05-12;12;12;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0018;-
