type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-05-12;1;1;1;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00366;-
ois;16-05-12;2;2;2;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00372;-
ois;16-05-12;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00382;-
ois;16-05-12;4;4;4;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00391;-
ois;16-05-12;5;5;5;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00404;-
ois;16-05-12;6;6;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00414;-
ois;16-05-12;7;7;7;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00423;-
ois;16-05-12;8;8;8;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00437;-
ois;16-05-12;9;9;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00449;-
ois;16-05-12;10;10;10;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00459;-
ois;16-05-12;11;11;11;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0047;-
ois;16-05-12;12;12;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0048;-
ois;16-05-12;12;12;15;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00506;-
ois;16-05-12;12;12;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00531;-
ois;16-05-12;12;12;21;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00556;-
ois;16-05-12;12;12;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00579;-
ois;16-05-12;12;12;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0067;-
ois;16-05-12;12;12;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0076;-
ois;16-05-12;12;12;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00847;-
ois;16-05-12;12;12;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00938;-
ois;16-05-12;12;12;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01026;-
ois;16-05-12;12;12;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01106;-
